
--------------------------------------------------------------------------
Function        = Dixon
Dimension       =        7
Samples train   =  1.0e+04
Samples test    =  1.0e+04
Grid size       =       10
TT-ranks        = [2, 4, 6, 8, 10]
ALS sweeps      = [1, 2, 5, 10, 50, 100]
ANO order       =        1
ANO noise       = 1.0e-100
--------------------------------------------------------------------------


r: 2 | nswp:   1 | e_als_rnd = 1.0e+00 | e_als_ano = 2.1e-02 |
r: 2 | nswp:   2 | e_als_rnd = 1.1e+00 | e_als_ano = 2.1e-02 |
r: 2 | nswp:   5 | e_als_rnd = 1.1e+00 | e_als_ano = 2.1e-02 |
r: 2 | nswp:  10 | e_als_rnd = 1.1e+00 | e_als_ano = 2.1e-02 |
r: 2 | nswp:  50 | e_als_rnd = 2.0e+00 | e_als_ano = 2.1e-02 |
r: 2 | nswp: 100 | e_als_rnd = 2.6e+00 | e_als_ano = 2.1e-02 |
r: 4 | nswp:   1 | e_als_rnd = 1.1e+00 | e_als_ano = 2.1e-02 |
r: 4 | nswp:   2 | e_als_rnd = 1.2e+00 | e_als_ano = 2.1e-02 |
r: 4 | nswp:   5 | e_als_rnd = 1.3e+00 | e_als_ano = 1.4e-01 |
r: 4 | nswp:  10 | e_als_rnd = 1.6e+00 | e_als_ano = 5.6e-02 |
r: 4 | nswp:  50 | e_als_rnd = 2.9e+00 | e_als_ano = 1.1e-03 |
r: 4 | nswp: 100 | e_als_rnd = 4.1e+00 | e_als_ano = 3.6e-04 |
r: 6 | nswp:   1 | e_als_rnd = 1.2e+00 | e_als_ano = 2.1e-02 |
r: 6 | nswp:   2 | e_als_rnd = 1.3e+00 | e_als_ano = 2.1e-02 |
r: 6 | nswp:   5 | e_als_rnd = 1.5e+00 | e_als_ano = 5.0e-01 |
r: 6 | nswp:  10 | e_als_rnd = 1.8e+00 | e_als_ano = 1.7e-03 |
r: 6 | nswp:  50 | e_als_rnd = 3.4e+00 | e_als_ano = 1.5e-04 |
r: 6 | nswp: 100 | e_als_rnd = 4.3e+00 | e_als_ano = 5.1e-05 |
r: 8 | nswp:   1 | e_als_rnd = 1.3e+00 | e_als_ano = 2.1e-02 |
r: 8 | nswp:   2 | e_als_rnd = 1.4e+00 | e_als_ano = 2.1e-02 |
r: 8 | nswp:   5 | e_als_rnd = 1.7e+00 | e_als_ano = 1.1e+00 |
r: 8 | nswp:  10 | e_als_rnd = 2.0e+00 | e_als_ano = 6.6e-02 |
r: 8 | nswp:  50 | e_als_rnd = 3.3e+00 | e_als_ano = 5.2e-08 |
r: 8 | nswp: 100 | e_als_rnd = 4.2e+00 | e_als_ano = 2.1e-11 |
r: 10 | nswp:   1 | e_als_rnd = 1.3e+00 | e_als_ano = 2.1e-02 |
r: 10 | nswp:   2 | e_als_rnd = 1.5e+00 | e_als_ano = 2.1e-02 |
r: 10 | nswp:   5 | e_als_rnd = 1.8e+00 | e_als_ano = 3.6e-01 |
r: 10 | nswp:  10 | e_als_rnd = 2.1e+00 | e_als_ano = 3.9e-02 |
r: 10 | nswp:  50 | e_als_rnd = 3.3e+00 | e_als_ano = 3.1e-03 |
r: 10 | nswp: 100 | e_als_rnd = 4.2e+00 | e_als_ano = 1.1e-03 |
