
--------------------------------------------------------------------------
Function        = PDE-VOI
Dimension       =        7  
Samples train   =  1.0e+04  
Samples test    =  1.0e+04  
Grid size       =       10      
TT-ranks        = [2, 4, 6, 8, 10]
ALS sweeps      = [1, 2, 5, 10, 50, 100]
ANO order       =        1  
ANO noise       = 1.0e-100  
--------------------------------------------------------------------------


r: 2 | nswp:   1 | e_als_rnd = 1.0e+00 | e_als_ano = 4.8e-04 | 
r: 2 | nswp:   2 | e_als_rnd = 1.0e+00 | e_als_ano = 4.3e-04 | 
r: 2 | nswp:   5 | e_als_rnd = 1.1e+00 | e_als_ano = 4.2e-04 | 
r: 2 | nswp:  10 | e_als_rnd = 1.1e+00 | e_als_ano = 4.2e-04 | 
r: 2 | nswp:  50 | e_als_rnd = 1.1e+00 | e_als_ano = 4.2e-04 | 
r: 2 | nswp: 100 | e_als_rnd = 1.1e+00 | e_als_ano = 4.2e-04 | 
r: 4 | nswp:   1 | e_als_rnd = 1.1e+00 | e_als_ano = 4.8e-04 | 
r: 4 | nswp:   2 | e_als_rnd = 1.1e+00 | e_als_ano = 4.3e-04 | 
r: 4 | nswp:   5 | e_als_rnd = 1.2e+00 | e_als_ano = 4.2e-04 | 
r: 4 | nswp:  10 | e_als_rnd = 1.2e+00 | e_als_ano = 3.4e-04 | 
r: 4 | nswp:  50 | e_als_rnd = 1.3e+00 | e_als_ano = 4.7e-05 | 
r: 4 | nswp: 100 | e_als_rnd = 1.3e+00 | e_als_ano = 3.3e-05 | 
r: 6 | nswp:   1 | e_als_rnd = 1.2e+00 | e_als_ano = 4.8e-04 | 
r: 6 | nswp:   2 | e_als_rnd = 1.3e+00 | e_als_ano = 4.3e-04 | 
r: 6 | nswp:   5 | e_als_rnd = 1.4e+00 | e_als_ano = 4.2e-04 | 
r: 6 | nswp:  10 | e_als_rnd = 1.4e+00 | e_als_ano = 3.3e-04 | 
r: 6 | nswp:  50 | e_als_rnd = 1.6e+00 | e_als_ano = 1.2e-05 | 
r: 6 | nswp: 100 | e_als_rnd = 1.7e+00 | e_als_ano = 1.1e-05 | 
r: 8 | nswp:   1 | e_als_rnd = 1.3e+00 | e_als_ano = 4.8e-04 | 
r: 8 | nswp:   2 | e_als_rnd = 1.4e+00 | e_als_ano = 4.3e-04 | 
r: 8 | nswp:   5 | e_als_rnd = 1.6e+00 | e_als_ano = 4.2e-04 | 
r: 8 | nswp:  10 | e_als_rnd = 1.7e+00 | e_als_ano = 8.1e-03 | 
r: 8 | nswp:  50 | e_als_rnd = 2.0e+00 | e_als_ano = 2.2e-05 | 
r: 8 | nswp: 100 | e_als_rnd = 2.1e+00 | e_als_ano = 6.2e-05 | 
r: 10 | nswp:   1 | e_als_rnd = 1.4e+00 | e_als_ano = 4.8e-04 | 
r: 10 | nswp:   2 | e_als_rnd = 1.6e+00 | e_als_ano = 4.3e-04 | 
r: 10 | nswp:   5 | e_als_rnd = 1.8e+00 | e_als_ano = 4.2e-04 | 
r: 10 | nswp:  10 | e_als_rnd = 2.0e+00 | e_als_ano = 4.5e-04 | 
r: 10 | nswp:  50 | e_als_rnd = 2.5e+00 | e_als_ano = 4.3e-05 | 
r: 10 | nswp: 100 | e_als_rnd = 2.7e+00 | e_als_ano = 3.3e-05 | 
